Title,Product,Material,Materiall: uom,Quantity
recipe_Choux Dough,Choux Dough,Milk (Uht),Ml,340
recipe_Ciabatta,Ciabatta,Olive Oil,Ml,435
recipe_Ciabatta,Ciabatta,Water,Ml,57
recipe_Coconut Cream,Coconut Cream,Whipping Cream,Ml,658
recipe_Coconut Cream,Coconut Cream,Coconut Milk,Ml,164
recipe_Coffee Cream,Coffee Cream,Whipping Cream,Ml,647
recipe_Countryside sourdough medium,Countryside sourdough medium,Water,Ml,151
recipe_Countryside Sourdough Small,Countryside Sourdough Small,Water,Ml,101
recipe_Cream Cheese Sauce,Cream Cheese Sauce,Milk (Uht),Ml,429
recipe_Croissant Dough,Croissant Dough,Water,Ml,226
recipe_Dressing Sauce,Dressing Sauce,Balsamic Vinegar,Ml,201
recipe_Dressing Sauce,Dressing Sauce,Salade Oil,Ml,795
recipe_Flat white,Flat white,Fresh Milk,Ml,200
recipe_Flat white,Flat white,Fresh Milk,Ml,200
recipe_Flat white,Flat white,Oat Milk,Ml,200
recipe_Flat white,Flat white,Oat Milk,Ml,200
recipe_Flat white,Flat white,Fresh Milk,Ml,200
recipe_Flat white,Flat white,Fresh Milk,Ml,200
recipe_Flat white,Flat white,Oat Milk,Ml,200
recipe_Flat white,Flat white,Oat Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Fresh Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Fresh Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Oat Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Fresh Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Fresh Milk,Ml,200
recipe_Hazelnut Latte,Hazelnut Latte,Syrup Hazelnut,Ml,30
recipe_Hazelnut Latte,Hazelnut Latte,Oat Milk,Ml,200
recipe_Hollandaise Sauce,Hollandaise Sauce,Water,Ml,38
recipe_Hot Dog buns,Hot Dog buns,Milk (Uht),Ml,172
recipe_Hot Dog buns,Hot Dog buns,Water,Ml,172
recipe_Latte,Latte,Fresh Milk,Ml,200
recipe_Latte,Latte,Fresh Milk,Ml,200
recipe_Latte,Latte,Fresh Milk,Ml,200
recipe_Latte,Latte,Oat Milk,Ml,200
recipe_Latte,Latte,Fresh Milk,Ml,200
recipe_Latte,Latte,Fresh Milk,Ml,200
recipe_Latte,Latte,Oat Milk,Ml,200
recipe_Lemon cheesecake 24cm,Lemon cheesecake 24cm,Whipping Cream,Ml,300
recipe_Lemon Cheesecake Mix,Lemon Cheesecake Mix,Whipping Cream,Ml,353
recipe_Lemon Glazing,Lemon Glazing,Water,Ml,743
recipe_Matcha Latte,Matcha Latte,Fresh Milk,Ml,200
recipe_Matcha Latte,Matcha Latte,Fresh Milk,Ml,200
recipe_Matcha Latte,Matcha Latte,Oat Milk,Ml,200
recipe_Matcha Latte,Matcha Latte,Fresh Milk,Ml,200
recipe_Matcha Latte,Matcha Latte,Fresh Milk,Ml,200
recipe_Matcha Latte,Matcha Latte,Oat Milk,Ml,200
recipe_Mayonnaise,Mayonnaise,Salade Oil,Ml,817
recipe_Mayonnaise,Mayonnaise,Vinegar,Ml,2
recipe_Mini burger buns,Mini burger buns,Milk (Uht),Ml,5
recipe_Mini burger buns,Mini burger buns,Water,Ml,133
recipe_Mini Toast Bread,Mini Toast Bread,Milk (Uht),Ml,111
recipe_Mini Toast Bread,Mini Toast Bread,Water,Ml,81
recipe_Moka latte,Moka latte,Fresh Milk,Ml,200
recipe_Moka latte,Moka latte,Fresh Milk,Ml,200
recipe_Moka latte,Moka latte,Oat Milk,Ml,200
recipe_Moka latte,Moka latte,Oat Milk,Ml,200
recipe_Moka latte,Moka latte,Fresh Milk,Ml,200
recipe_Moka latte,Moka latte,Fresh Milk,Ml,200
recipe_Moka latte,Moka latte,Oat Milk,Ml,200
recipe_Moka latte,Moka latte,Oat Milk,Ml,200
recipe_Mushroom Sautee,Mushroom Sautee,Olive Oil,Ml,17
recipe_New York Roll Dough,New York Roll Dough,Milk (Uht),Ml,54
recipe_Omelette,Omelette,Milk (Uht),Ml,50
recipe_Omelette,Omelette,Olive Oil,Ml,10
recipe_Panini 3 cheese,Panini 3 cheese,Olive Oil,Ml,25
recipe_Passion Fruit Cream,Passion Fruit Cream,Whipping Cream,Ml,690
recipe_Passion Fruit Filling,Passion Fruit Filling,Water,Ml,385
recipe_Pastry Cream,Pastry Cream,Milk (Uht),Ml,625
recipe_Pistacchio Cream,Pistacchio Cream,Water,Ml,88
recipe_Pizza Dough,Pizza Dough,Water,Ml,377
recipe_Pizza Dough,Pizza Dough,Olive Oil,Ml,23
recipe_Poolish Starter,Poolish Starter,Water,Ml,1
recipe_Quiche Dough,Quiche Dough,Water,Ml,100
recipe_Quiche Mix,Quiche Mix,Milk (Uht),Ml,312
recipe_Quiche Mix,Quiche Mix,Cooking Cream,Ml,312
recipe_Red Onion Jam,Red Onion Jam,Olive Oil,Ml,54
